turbine_id,cluster_id,score,year,lon,lat,province
COWTD-r1-000122,COWTD-CL-r1-gansu-000001,0.78299415,2024,96.08348339648728,40.94703870225354,gansu
COWTD-r1-000123,COWTD-CL-r1-gansu-000001,0.87791979,2014,95.56097797076292,40.94514481979022,gansu
COWTD-r1-000124,COWTD-CL-r1-gansu-000001,0.86135083,2014,95.57404480463447,40.94540887012327,gansu
COWTD-r1-000125,COWTD-CL-r1-gansu-000001,0.53932077,2021,96.40483161492739,40.94793054816541,gansu
COWTD-r1-000126,COWTD-CL-r1-gansu-000001,0.86469871,2014,95.58062282925675,40.94553412380317,gansu
COWTD-r1-000127,COWTD-CL-r1-gansu-000001,0.63401604,2021,97.19659780808796,40.52963392722724,gansu
COWTD-r1-000128,COWTD-CL-r1-gansu-000001,0.43984136,2024,96.77948483397813,40.94994520355736,gansu
COWTD-r1-000129,COWTD-CL-r1-gansu-000001,0.83765382,2021,97.19702451980993,40.54395858920906,gansu
COWTD-r1-000130,COWTD-CL-r1-gansu-000001,0.78385299,2023,96.28915335200871,40.94713846672233,gansu
COWTD-r1-000131,COWTD-CL-r1-gansu-000001,0.65363079,2023,96.21646751957996,40.94571510847083,gansu
COWTD-r1-000132,COWTD-CL-r1-gansu-000001,0.83462167,2023,96.20397280486941,40.947965021314914,gansu
COWTD-r1-000133,COWTD-CL-r1-gansu-000001,0.84697765,2024,96.81392867520115,40.95020248034297,gansu
COWTD-r1-000134,COWTD-CL-r1-gansu-000001,0.11488888,2021,97.22369717636182,40.5434074019207,gansu
COWTD-r1-000135,COWTD-CL-r1-gansu-000001,0.77863681,2024,96.13631511236235,40.94548481889527,gansu
COWTD-r1-000136,COWTD-CL-r1-gansu-000001,0.78812671,2023,96.3260997990983,40.946019443353705,gansu
COWTD-r1-000137,COWTD-CL-r1-gansu-000001,0.65355498,2024,96.6870892353654,40.948367604458255,gansu
COWTD-r1-000138,COWTD-CL-r1-gansu-000001,0.58474189,2024,96.70253943491844,40.947973532162855,gansu
COWTD-r1-000139,COWTD-CL-r1-gansu-000001,0.65771943,2022,96.82930884166126,40.94795466016288,gansu
COWTD-r1-000140,COWTD-CL-r1-gansu-000001,0.52322978,2024,96.82961390004492,40.94737880153382,gansu
COWTD-r1-000141,COWTD-CL-r1-gansu-000001,0.90244925,2024,96.79298993489284,40.94824150868823,gansu
COWTD-r1-000142,COWTD-CL-r1-gansu-000001,0.85103768,2021,96.37069216963937,40.94574689329312,gansu
COWTD-r1-000143,COWTD-CL-r1-gansu-000001,0.83275688,2014,95.54331612150234,40.941658456080475,gansu
COWTD-r1-000144,COWTD-CL-r1-gansu-000001,0.71367335,2014,95.54985125410893,40.94186441693995,gansu
COWTD-r1-000145,COWTD-CL-r1-gansu-000001,,2023,96.31111432008765,40.944287508828204,gansu
COWTD-r1-000146,COWTD-CL-r1-gansu-000001,0.30226061,2021,96.3833162046535,40.94412000651924,gansu
COWTD-r1-000147,COWTD-CL-r1-gansu-000001,0.44507945,2021,95.55922617008717,40.941888249018305,gansu
COWTD-r1-000148,COWTD-CL-r1-gansu-000001,0.85244262,2014,95.57351172754352,40.94166637119539,gansu
COWTD-r1-000149,COWTD-CL-r1-gansu-000001,0.76496726,2021,96.40485195708607,40.94383628001462,gansu
COWTD-r1-000150,COWTD-CL-r1-gansu-000001,0.06382248,2022,97.22278357312462,40.5258855271011,gansu
COWTD-r1-000151,COWTD-CL-r1-gansu-000001,0.83631492,2024,96.77914173845238,40.94634152300391,gansu
COWTD-r1-000152,COWTD-CL-r1-gansu-000001,0.72289693,2021,97.19682631374779,40.5405155720222,gansu
COWTD-r1-000153,COWTD-CL-r1-gansu-000001,0.66217560,2024,96.79210339359997,40.94541387951332,gansu
COWTD-r1-000154,COWTD-CL-r1-gansu-000001,0.85106117,2017,95.59065448873298,40.93900971928071,gansu
COWTD-r1-000155,COWTD-CL-r1-gansu-000001,0.76683348,2023,96.19689415069843,40.94379812124483,gansu
COWTD-r1-000156,COWTD-CL-r1-gansu-000001,0.73907435,2024,96.19715904314943,40.94287950066432,gansu
COWTD-r1-000157,COWTD-CL-r1-gansu-000001,0.78590155,2023,96.21698822591497,40.941913081757775,gansu
COWTD-r1-000158,COWTD-CL-r1-gansu-000001,,2021,97.32346966477051,40.54286542803521,gansu
COWTD-r1-000159,COWTD-CL-r1-gansu-000001,,2017,97.22295165631293,40.540392061582665,gansu
COWTD-r1-000160,COWTD-CL-r1-gansu-000001,0.81148094,2024,96.5403537482598,40.94427609638407,gansu
COWTD-r1-000161,COWTD-CL-r1-gansu-000001,0.75304914,2024,96.6085557498127,40.943276514942255,gansu
COWTD-r1-000162,COWTD-CL-r1-gansu-000001,0.25641504,2023,96.31202571996481,40.94116764271979,gansu
COWTD-r1-000163,COWTD-CL-r1-gansu-000001,0.57042629,2024,96.81397329131869,40.94633985655905,gansu
COWTD-r1-000164,COWTD-CL-r1-gansu-000001,0.50811958,2014,95.55845416563896,40.93864453579771,gansu
COWTD-r1-000165,COWTD-CL-r1-gansu-000001,0.76410419,2014,95.5812471584045,40.94000302424382,gansu
COWTD-r1-000166,COWTD-CL-r1-gansu-000001,0.27933490,2022,96.82986254380012,40.94433375294273,gansu
COWTD-r1-000167,COWTD-CL-r1-gansu-000001,0.71512794,2024,96.7780259369647,40.94363599603068,gansu
COWTD-r1-000168,COWTD-CL-r1-gansu-000001,0.76112145,2021,96.37025882066155,40.94208449161065,gansu
COWTD-r1-000169,COWTD-CL-r1-gansu-000001,0.83838058,2014,95.596578922341,40.93724129979394,gansu
